Superclass,NewCode,crm_cd
Robo Vehículo,104,330
Robo Vehículo,104,331
Robo Vehículo,104,420
Robo Vehículo,104,510
Robo Vehículo,104,522
Robo Vehículo,104,624
Robo,103,210
Robo,103,220
Robo,103,310
Robo,103,341
Robo,103,343
Robo,103,345
Robo,103,347
Robo,103,349
Robo,103,350
Robo,103,351
Robo,103,352
Robo,103,440
Robo,103,442
Robo,103,444
Robo,103,445
Robo,103,446
Robo,103,470
Robo,103,471
Robo,103,473
Robo,103,474
Robo,103,480
Robo,103,487
Robo,103,491
Robo,103,662
Robo,103,668
Falta a la ley,102,354
Falta a la ley,102,434
Falta a la ley,102,437
Falta a la ley,102,439
Falta a la ley,102,649
Falta a la ley,102,651
Falta a la ley,102,652
Falta a la ley,102,653
Falta a la ley,102,654
Falta a la ley,102,660
Falta a la ley,102,661
Falta a la ley,102,664
Falta a la ley,102,666
Falta a la ley,102,670
Falta a la ley,102,755
Falta a la ley,102,890
Falta a la ley,102,902
Falta a la ley,102,942
Falta a la ley,102,944
Falta a la ley,102,946
Falta a la ley,102,948
Falta a la ley,102,949
Falta a la ley,102,950
Falta a la ley,102,951
Disturbios a la sociedad,101,250
Disturbios a la sociedad,101,251
Disturbios a la sociedad,101,320
Disturbios a la sociedad,101,353
Disturbios a la sociedad,101,410
Disturbios a la sociedad,101,421
Disturbios a la sociedad,101,432
Disturbios a la sociedad,101,433
Disturbios a la sociedad,101,436
Disturbios a la sociedad,101,438
Disturbios a la sociedad,101,441
Disturbios a la sociedad,101,443
Disturbios a la sociedad,101,450
Disturbios a la sociedad,101,451
Disturbios a la sociedad,101,452
Disturbios a la sociedad,101,453
Disturbios a la sociedad,101,472
Disturbios a la sociedad,101,475
Disturbios a la sociedad,101,485
Disturbios a la sociedad,101,520
Disturbios a la sociedad,101,647
Disturbios a la sociedad,101,648
Disturbios a la sociedad,101,740
Disturbios a la sociedad,101,745
Disturbios a la sociedad,101,753
Disturbios a la sociedad,101,756
Disturbios a la sociedad,101,865
Disturbios a la sociedad,101,880
Disturbios a la sociedad,101,882
Disturbios a la sociedad,101,884
Disturbios a la sociedad,101,886
Disturbios a la sociedad,101,888
Disturbios a la sociedad,101,904
Disturbios a la sociedad,101,906
Disturbios a la sociedad,101,924
Disturbios a la sociedad,101,926
Disturbios a la sociedad,101,930
Disturbios a la sociedad,101,931
Disturbios a la sociedad,101,954
Agresión,100,110
Agresión,100,113
Agresión,100,121
Agresión,100,122
Agresión,100,230
Agresión,100,231
Agresión,100,235
Agresión,100,236
Agresión,100,237
Agresión,100,435
Agresión,100,622
Agresión,100,623
Agresión,100,625
Agresión,100,626
Agresión,100,627
Agresión,100,760
Agresión,100,761
Agresión,100,762
Agresión,100,763
Agresión,100,805
Agresión,100,806
Agresión,100,810
Agresión,100,812
Agresión,100,813
Agresión,100,814
Agresión,100,815
Agresión,100,820
Agresión,100,821
Agresión,100,822
Agresión,100,830
Agresión,100,840
Agresión,100,845
Agresión,100,850
Agresión,100,860
Agresión,100,870
Agresión,100,900
Agresión,100,901
Agresión,100,903
Agresión,100,910
Agresión,100,920
Agresión,100,921
Agresión,100,922
Agresión,100,928
Agresión,100,932
Agresión,100,933
Agresión,100,940
Agresión,100,943
Agresión,100,956
